ID,Time,Record,Type,Levels
76142,2019/11/20,22:22,0,112
76143,2019/11/20,22:37,0,111
76144,2019/11/20,22:52,0,114
76145,2019/11/20,23:07,0,111
76146,2019/11/20,23:22,0,109
76147,2019/11/20,23:37,0,104
76148,2019/11/20,23:52,0,110
76149,2019/11/21,00:07,0,129
76150,2019/11/21,00:22,0,137
76151,2019/11/21,00:37,0,131
76152,2019/11/21,00:52,0,121
76153,2019/11/21,01:07,0,116
76154,2019/11/21,01:22,0,111
76155,2019/11/21,01:37,0,100
76156,2019/11/21,01:52,0,90
76157,2019/11/21,02:07,0,84
76158,2019/11/21,02:22,0,79
76159,2019/11/21,02:37,0,77
76160,2019/11/21,02:52,0,81
76161,2019/11/21,03:07,0,83
76162,2019/11/21,03:22,0,78
76163,2019/11/21,03:37,0,77
76164,2019/11/21,03:52,0,76
76165,2019/11/21,04:07,0,82
76166,2019/11/21,04:22,0,86
76167,2019/11/21,04:37,0,81
76168,2019/11/21,04:52,0,76
76169,2019/11/21,05:07,0,75
76170,2019/11/21,05:22,0,76
76171,2019/11/21,05:37,0,76
76172,2019/11/21,05:52,0,77
76173,2019/11/21,06:07,0,77
76174,2019/11/21,06:22,0,75
76175,2019/11/21,06:37,0,76
76176,2019/11/21,06:52,0,77
76177,2019/11/21,07:07,0,75
76178,2019/11/21,07:22,0,75
76179,2019/11/21,07:37,0,73
76180,2019/11/21,07:52,0,63
76181,2019/11/21,08:07,0,58
76182,2019/11/21,08:22,0,57
76183,2019/11/21,08:37,0,59
76184,2019/11/21,08:52,0,63
76185,2019/11/21,09:07,0,66
76186,2019/11/21,09:22,0,63
76187,2019/11/21,09:37,0,68
76188,2019/11/21,09:52,0,78
76189,2019/11/21,10:07,0,90
76190,2019/11/21,10:22,0,89
76191,2019/11/21,10:37,0,75
76192,2019/11/21,10:52,0,69
76193,2019/11/21,11:07,0,71
76194,2019/11/21,11:22,0,78
76195,2019/11/21,11:37,0,90
76196,2019/11/21,11:52,0,90
76197,2019/11/21,12:07,0,80
76198,2019/11/21,12:22,0,75
76199,2019/11/21,12:37,0,76
76200,2019/11/21,12:52,0,76
76201,2019/11/21,13:07,0,71
76202,2019/11/21,13:22,0,67
76203,2019/11/21,13:37,0,70
76204,2019/11/21,13:52,0,77
76205,2019/11/21,14:07,0,86
76206,2019/11/21,14:22,0,87
76207,2019/11/21,14:37,0,78
76208,2019/11/21,14:52,0,71
76209,2019/11/21,15:07,0,74
76210,2019/11/21,15:22,0,83
76211,2019/11/21,15:37,0,81
76212,2019/11/21,15:52,0,76
76213,2019/11/21,16:07,0,83
76214,2019/11/21,16:22,0,90
76215,2019/11/21,16:37,0,90
76216,2019/11/21,16:52,0,88
76217,2019/11/21,17:07,0,92
76218,2019/11/21,17:22,0,99
76219,2019/11/21,17:37,0,87
76220,2019/11/21,17:52,0,75
76221,2019/11/21,18:07,0,73
76222,2019/11/21,18:22,0,81
76223,2019/11/21,18:37,0,90
76224,2019/11/21,18:52,0,88
76225,2019/11/21,19:07,0,87
76226,2019/11/21,19:22,0,96
76227,2019/11/21,19:37,0,93
76228,2019/11/21,19:52,0,82
76229,2019/11/21,20:07,0,78
76230,2019/11/21,20:22,0,81
76231,2019/11/21,20:37,0,82
76232,2019/11/21,20:52,0,80
