"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2017","510.39","509.57","516.84","508.23","7.68M","-0.25%"
"Mar 24, 2017","511.65","514.93","517.91","509.82","4.88M","-0.87%"
"Mar 23, 2017","516.14","510.09","517.41","509.27","4.50M","1.24%"
"Mar 22, 2017","509.82","507.21","515.90","506.20","3.99M","-0.50%"
"Mar 21, 2017","512.37","506.45","513.42","505.40","4.87M","1.11%"
"Mar 20, 2017","506.74","509.25","509.25","503.57","4.43M","-1.81%"
"Mar 17, 2017","516.07","513.64","517.36","505.63","9.51M","1.11%"
"Mar 16, 2017","510.39","502.68","511.80","502.68","6.70M","1.67%"
"Mar 15, 2017","502.01","513.39","513.39","499.80","6.37M","-2.21%"
"Mar 14, 2017","513.34","507.39","516.86","507.39","7.88M","1.27%"
"Mar 10, 2017","506.92","503.52","509.79","502.73","4.55M","1.02%"
"Mar 09, 2017","501.81","499.95","502.53","495.58","3.48M","0.37%"
"Mar 08, 2017","499.95","504.46","504.46","498.29","6.18M","-1.18%"
"Mar 07, 2017","505.90","506.99","508.88","503.37","4.64M","-1.36%"
"Mar 06, 2017","512.90","506.02","513.91","505.85","5.29M","0.26%"
"Mar 03, 2017","511.56","501.16","513.09","496.28","5.40M","0.77%"
"Mar 02, 2017","507.64","508.18","509.97","504.26","2.95M","-0.18%"
"Mar 01, 2017","508.55","502.03","509.47","501.09","4.28M","1.26%"
"Feb 28, 2017","502.23","501.96","507.34","500.67","5.94M","0.00%"
"Feb 27, 2017","502.23","499.70","507.49","499.53","5.33M","0.35%"
"Feb 23, 2017","500.47","495.53","506.00","492.78","9.54M","1.89%"
"Feb 22, 2017","491.19","503.52","503.52","489.33","6.61M","-2.31%"
"Feb 21, 2017","502.82","507.04","508.23","496.10","7.61M","0.33%"
"Feb 20, 2017","501.16","494.34","511.46","492.85","4.65M","1.01%"
"Feb 17, 2017","496.13","502.90","502.90","492.46","4.85M","-1.19%"
"Feb 16, 2017","502.08","491.61","502.97","491.14","12.82M","3.09%"
